time,rgdpi,rexp,rincome,unemp,rgdp,fedfund,inflation,bank_id,size,commercial,concent_re,npl_re,provision,personnel,nii_avgass,netinc,concent_ind,dep_dem,npl_cc,concent_agro,concent_cc,concent_auto,concent_commind,dep_core,tier1
1/1/2003,1.6,2,1.5,5.866666667,1.6,1.25,2.1737766,4,3,1,470.99,0.08,0.22,1.52,4.05,1.28,59.1,7.23,0.89,4.58,1.03,0,118.48,62.18,11.45
4/1/2003,1.5,4.7,2,6.133333333,1.5,1.22,1.3430789,4,3,1,481.42,0.09,0.23,1.53,4.01,1.33,57.51,7.55,0.77,4.69,1.03,0,118.2,62.55,11.49
7/1/2003,3.2,5.8,3.6,6.133333333,3.2,1.01,2.484186333,4,3,1,475.03,0.08,0.21,1.51,3.93,1.27,56.32,7.52,0.75,4.53,1.07,0,113.31,61.83,11.67
10/1/2003,-2.1,2.8,3.3,5.833333333,-2.1,0.98,1.911687133,4,3,1,496.13,0.07,0.22,1.55,4.04,1.18,50.97,7.86,0.6,4.8,0.98,0,119.01,62.69,11.32
1/1/2004,-2.4,3.8,3.8,5.7,-2.4,1,2.817922467,4,3,1,504.27,0.07,0.18,1.55,3.98,1.24,49.97,8.07,0.59,4.02,0.92,0,117.22,62.37,11.35
4/1/2004,0.9,2.2,3.5,5.6,0.9,1.03,2.310066167,4,3,1,516.83,0.07,0.18,1.53,3.95,1.25,50.64,8.14,0.63,4.89,0.94,0,119.52,62.39,11.11
7/1/2004,0.6,4.8,2.5,5.433333333,0.6,1.61,1.9269524,4,3,1,528.54,0.05,0.17,1.51,4.02,1.24,45.78,7.98,0.63,4.55,0.81,0,114.87,61.4,11.28
10/1/2004,0.4,4.6,3.5,5.433333333,0.4,2.16,2.204867667,4,3,1,541.08,0.05,0.17,1.49,4.07,1.25,46.73,7.97,0.6,4.8,0.88,0,116.65,61.35,11.09
1/1/2005,0.3,2.6,1.8,5.3,0.3,2.63,2.546322033,4,3,1,545.18,0.05,0.14,1.48,4.03,1.27,45.88,7.84,0.62,4.35,0.84,0,115.5,60.2,11.16
4/1/2005,-2.5,4.5,1.7,5.1,-2.5,3.04,2.124910003,4,3,1,549.69,0.06,0.16,1.49,4.11,1.35,42.97,7.72,0.6,4.88,0.81,0,117.5,59.2,10.97
7/1/2005,1.2,3.4,1.4,4.966666667,1.2,3.62,2.467696767,4,3,1,547.33,0.05,0.17,1.47,4.15,1.35,42.56,7.64,0.55,5.24,0.77,0,115.21,58.34,11.04
10/1/2005,-0.9,0.7,1,4.966666667,-0.9,4.16,2.745949233,4,3,1,559.23,0.05,0.17,1.47,4.22,1.35,40.83,7.82,0.28,5.34,0.7,0,115.96,58.53,10.9
1/1/2006,3.2,4.4,4.3,4.733333333,3.2,4.59,2.995864633,4,3,1,569.56,0.04,0.13,1.5,4.12,1.31,39.08,7.52,0.4,4.67,0.66,0,114.97,57.88,10.82
4/1/2006,-4.5,2.1,3.7,4.633333333,-4.5,4.99,3.937975233,4,3,1,577.01,0.05,0.16,1.49,4.16,1.36,37.9,7.53,0.33,5.08,0.64,0,114.98,56.64,10.78
7/1/2006,-0.4,2.6,3.5,4.633333333,-0.4,5.25,3.173847167,4,3,1,572.69,0.05,0.16,1.49,4.17,1.35,37.57,7.22,0.34,5.55,0.63,0,113.62,55.64,10.84
10/1/2006,2.8,3.9,3.9,4.433333333,2.8,5.24,2.397725133,4,3,1,582.58,0.05,0.18,1.46,4.09,1.26,35.82,6.97,0.38,5.46,0.61,0,114,56.49,10.75
1/1/2007,-2.2,2.5,2.6,4.5,-2.2,5.26,2.935688833,4,3,1,574.15,0.05,0.14,1.48,3.94,1.19,33.11,5.92,0.38,4.59,0.53,0,112.21,58.34,10.86
4/1/2007,1.4,1.1,2.7,4.5,1.4,5.25,2.022198767,4,3,1,578.41,0.06,0.17,1.48,3.99,1.2,33.86,5.93,0.31,4.84,0.58,0,113.83,57.95,10.76
7/1/2007,-0.2,2.7,2.7,4.666666667,-0.2,4.94,2.585464433,4,3,1,576.47,0.07,0.24,1.47,3.99,1.18,33.88,5.72,0.27,5.06,0.63,0,113.98,56.24,10.75
10/1/2007,0.1,1.6,1.5,4.8,0.1,4.24,3.313651733,4,3,1,585.43,0.09,0.49,1.48,3.92,0.93,31.67,5.58,0.36,5.5,0.64,0,115.98,55.56,10.68
1/1/2008,-4.1,-0.5,1,5,-4.1,2.61,2.841821967,4,3,1,579.52,0.11,0.4,1.47,3.73,0.95,31.85,5.15,0.4,5.55,0.6,0,114.12,54.94,10.7
